Owner,Player,Player_id,Match_1,Match_2,Match_3,Match_4,Match_5
Mabbu,Quinton de Kock,379143,,,,6.0,
Mabbu,Sandeep Sharma,438362,,,7.0,,
Mabbu,Venkatesh Iyer,851403,,,,,35.0
Mabbu,Mitchell Marsh,272450,,,,,
Mabbu,Jaydev Unadkat,390484,,,,,
Mabbu,Matthew Wade,230193,,,,55.0,
Mabbu,Bhuvneshwar Kumar,326016,50.0,,,,
Mabbu,Rishi Dhawan,290727,,,,,
Mabbu,Shardul Thakur,475281,,39.0,,,
Mabbu,Tilak Varma,1170265,,42.0,,,
Mabbu,Abdul Samad,1175485,12.0,,,,
Mabbu,David Warner,219889,,,,,
Mabbu,Abhinav Manohar,778963,,,,31.0,
Mabbu,Rassie van der Dussen,337790,,,,,
Mabbu,Lockie Ferguson,493773,,,,40.0,
Siddhu,Basil Thampi,732291,,44.0,,,
Siddhu,Odean Smith,820691,,,77.0,,
Siddhu,Umran Malik,1246528,54.0,,,,
Siddhu,Evin Lewis,431901,,,,13.0,
Siddhu,Mayank Agarwal,398438,,,56.0,,
Siddhu,Baba Indrajith,477069,,,,,
Siddhu,Glenn Maxwell,325026,,,,,
Siddhu,Ravindra Jadeja,234675,,,,,107.0
Siddhu,Nathan Coulter-Nile,261354,-12.0,,,,
Siddhu,Aaron Finch,5334,,,,,
Siddhu,Sarfaraz Khan,642525,,,,,
Siddhu,Mohammed Shami,481896,,,,140.0,
Siddhu,Mustafizur Rahman,330902,,,,,
Siddhu,Suryakumar Yadav,446507,,,,,
Siddhu,Sheldon Jackson,237696,,,,,18.0
Bhar,Kuldeep Yadav,559235,,74.0,,,
Bhar,Marcus Stoinis,325012,,,,,
Bhar,Tim David,892749,,28.0,,,
Bhar,Sanju Samson,425943,151.0,,,,
Bhar,Anmolpreet Singh,851261,,,,,
Bhar,Umesh Yadav,376116,,,,,122.0
Bhar,Hardik Pandya,625371,,,,74.0,
Bhar,Kartik Tyagi,1122918,,,,,
Bhar,Marco Jansen,696401,,,,,
Bhar,David Willey,308251,,,2.0,,
Bhar,Mandeep Singh,398506,,4.0,,,
Bhar,Moeen Ali,8917,,,,,
Bhar,Priyam Garg,1070180,,,,,
Bhar,Liam Livingstone,403902,,,50.0,,
Bhar,Shivam Dube,714451,,,,,-1.0
Bhar,Prasidh Krishna,917159,131.0,,,,
Srini,Jason Holder,391485,,,,,
Srini,Tushar Deshpande,822553,,,,,
Srini,Ruturaj Gaikwad,1060380,,,,,-13.0
Srini,Washington Sundar,719715,63.0,,,,
Srini,Wriddhiman Saha,279810,,,,,
Srini,Prithvi Shaw,1070168,,80.0,,,
Srini,Ajinkya Rahane,277916,,,,,72.0
Srini,Devon Conway,379140,,,,,-2.0
Srini,Rahul Tripathi,446763,-8.0,,,,
Srini,Adam Milne,450860,,,,,16.0
Srini,Sam Billings,297628,,,,,41.0
Srini,Rahul Chahar,1064812,,,61.0,,
Srini,Lungi Ngidi,542023,,,,,
Srini,Shahbaz Ahmed,1159711,,,29.0,,
Srini,Lalit Yadav,930189,,94.0,,,
Srini,Ayush Badoni,1151270,,,,,
Saju,Tymal Mills,459257,,,,,
Saju,Axar Patel,554691,,76.0,,,
Saju,Dushmantha Chameera,552152,,,,,
Saju,Varun Chakravarthy,1108375,,,,,62.0
Saju,Suyash Prabhudessai,1083851,,,,,
Saju,Wanindu Hasaranga de Silva,784379,,,26.0,,
Saju,Sunil Narine,230558,,,,,77.0
Saju,Avesh Khan,694211,,,,30.0,
Saju,Yash Dayal,1159720,,,,,
Saju,KL Rahul,422108,,,,6.0,
Saju,Shivam Mavi,1079848,,,,,19.0
Saju,Kane Williamson,277906,-3.0,,,,
Saju,Rashid Khan,793463,,,,51.0,
Saju,Anuj Rawat,1123073,,,46.0,,
Saju,Sanjay Yadav,1048841,,,,,
Abhi,KM Asif,1083030,,,,,
Abhi,Manan Vohra,532856,,,,,
Abhi,Krishnappa Gowtham,424377,,,,,
Abhi,Anrich Nortje,481979,,,,,
Abhi,Deepak Hooda,497121,,,,123.0,
Abhi,Andrew Tye,459508,,,,,
Abhi,Shubman Gill,1070173,,,,7.0,
Abhi,Khaleel Ahmed,942645,,81.0,,,
Abhi,Tim Seifert,625964,,47.0,,,
Abhi,Manish Pandey,290630,,,,18.0,
Abhi,Shimron Hetmyer,670025,89.0,,,,
Abhi,Josh Hazlewood,288284,,,,,
Abhi,Ravichandran Ashwin,26421,43.0,,,,
Abhi,Nicholas Pooran,604302,6.0,,,,
Abhi,Virat Kohli,253802,,,95.0,,
Jilla,Kamlesh Nagarkoti,1070188,,,,,
Jilla,Varun Aaron,360911,,,,23.0,
Jilla,Vijay Shankar,477021,,,,7.0,
Jilla,Shahrukh Khan,719719,,,48.0,,
Jilla,Yashasvi Jaiswal,1151278,33.0,,,,
Jilla,David Miller,321777,,,,54.0,
Jilla,T Natarajan,802575,46.0,,,,
Jilla,Pat Cummins,489889,,,,,
Jilla,Rishabh Pant,931581,,5.0,,,
Jilla,Fabian Allen,670013,,,,,
Jilla,Dinesh Karthik,30045,,,64.0,,
Jilla,Sherfane Rutherford,914541,,,0.0,,
Jilla,Ambati Rayudu,33141,,,,,39.0
Jilla,Mohammad Nabi,25913,,,,,
Jilla,Kieron Pollard,230559,,0.0,,,
Ash,Devdutt Padikkal,1119026,81.0,,,,
Ash,Aiden Markram,600498,107.0,,,,
Ash,Ravi Bishnoi,1175441,,,,15.0,
Ash,Anmolpreet Singh,851261,,4.0,,,
Ash,Trent Boult,277912,117.0,,,,
Ash,Ishan Kishan,720471,,169.0,,,
Ash,Dwayne Bravo,51439,,,,,118.0
Ash,Bhanuka Rajapaksa,342619,,,,,
Ash,Shikhar Dhawan,28235,,,111.0,,
Ash,Yuzvendra Chahal,430246,116.0,,,,
Ash,Daniel Sams,826901,,7.0,,,
Ash,Raj Bawa,1292502,,,,,
Ash,Ankit Rajpoot,591650,,,,,
Ash,Chetan Sakariya,1131754,,,,,
Ash,Jasprit Bumrah,625383,,-9.0,,,
Ash,Riley Meredith,961713,,,,,
Firi,Tushar Deshpande,822553,,,,,
Firi,Jos Buttler,308967,61.0,,,,
Firi,Romario Shepherd,677077,72.0,,,,
Firi,Rohit Sharma,34102,,73.0,,,
Firi,Abhishek Sharma,1070183,-5.0,,,,
Firi,Riyan Parag,1079434,27.0,,,,
Firi,Gurkeerat Singh Mann,537124,,,,,
Firi,Finn Allen,959759,,,,,
Firi,Nitish Rana,604527,,,,,44.0
Firi,Dwaine Pretorius,327830,,,,,
Firi,Rajvardhan Hangargekar,1175429,,,,,
Firi,Kagiso Rabada,550215,,,,,
Firi,Mayank Markande,1081442,,,,,
Firi,Ravisrinivasan Sai Kishore,1048739,,,,,
Firi,Mohammed Siraj,940973,,,31.0,,
Firi,Krunal Pandya,471342,,,,102.0,
Firi,Faf du Plessis,44828,,,249.0,,
Shar,Andre Russell,276298,,,,,30.0
Shar,Arshdeep Singh,1125976,,,46.0,,
Shar,Mahipal Lomror,853265,,,,,
Shar,Jonny Bairstow,297433,,,,,
Shar,Rahul Tewatia,423838,,,,75.0,
Shar,Yash Dhull,1292498,,,,,
Shar,Dominic Drakes,906749,,,,,
Shar,Robin Uthappa,35582,,,,,46.0
Shar,Maheesh Theekshana,1138316,,,,,
Shar,Jayant Yadav,447587,,,,,
Shar,Shreyas Iyer,642519,,,,,71.0
Shar,Murugan Ashwin,528067,,103.0,,,
Shar,Dewald Brevis,1070665,,,,,
Shar,Rovman Powell,820351,,8.0,,,
Shar,Akash Deep,1176959,,,,,
Shar,Harshal Patel,390481,,,30.0,,
