Mabbu,Siddhu,Bhar,Srini,Saju,Abhi,Jilla,Ash,Firi,Shar
David Warner,Mayank Agarwal,Hardik Pandya,Prithvi Shaw,KL Rahul,Virat Kohli,Rishabh Pant,Shikhar Dhawan,Jos Buttler,Rovman Powell
Quinton de Kock,Suryakumar Yadav,Liam Livingstone,Washington Sundar,Rashid Khan,Shubman Gill,Yashasvi Jaiswal,Jasprit Bumrah,Faf du Plessis,Jonny Bairstow
Venkatesh Iyer,Ravindra Jadeja,Moeen Ali,Rahul Tripathi,Varun Chakravarthy,Nicholas Pooran,Shahrukh Khan,Yuzvendra Chahal,Rohit Sharma,Andre Russell
Lockie Ferguson,Mohammed Shami,David Willey,Ruturaj Gaikwad,Kane Williamson,Manish Pandey,Ambati Rayudu,Devdutt Padikkal,Kagiso Rabada,Shreyas Iyer
Shardul Thakur,Mustafizur Rahman,Sanju Samson,Lungi Ngidi,Wanindu Hasaranga de Silva,Ravichandran Ashwin,Dinesh Karthik,Ravi Bishnoi,Nitish Rana,Arshdeep Singh
Bhuvneshwar Kumar,Basil Thampi,Prasidh Krishna,Rahul Chahar,Axar Patel,Shimron Hetmyer,Kieron Pollard,Trent Boult,Krunal Pandya,Rahul Tewatia
Abdul Samad,Odean Smith,Tim David,Ayush Badoni,Sanjay Yadav,Andrew Tye,Sherfane Rutherford,Dwayne Bravo,Mohammed Siraj,Harshal Patel
Matthew Wade,Umran Malik,Shivam Dube,Sam Billings,Yash Dayal,Tim Seifert,T Natarajan,Ishan Kishan,Abhishek Sharma,Robin Uthappa
Tilak Varma,Evin Lewis,Anmolpreet Singh,Ajinkya Rahane,Tymal Mills,Deepak Hooda,Vijay Shankar,Aiden Markram,Riyan Parag,Akash Deep
Abhinav Manohar,Sarfaraz Khan,Umesh Yadav,Jason Holder,Avesh Khan,Khaleel Ahmed,David Miller,Chetan Sakariya,Romario Shepherd,Murugan Ashwin
Sandeep Sharma,Sheldon Jackson,Kuldeep Yadav,Lalit Yadav,Anuj Rawat,Krishnappa Gowtham,Pat Cummins,Bhanuka Rajapaksa,Tushar Deshpande,Yash Dhull
,,,Shahbaz Ahmed,,,,,,Dewald Brevis
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Rassie van der Dussen,Baba Indrajith,Marco Jansen,Shahbaz Ahmed,Dushmantha Chameera,Anrich Nortje,Fabian Allen,Riley Meredith,Rajvardhan Hangargekar,Dewald Brevis
Jaydev Unadkat,Aaron Finch,Kartik Tyagi,Wriddhiman Saha,Shivam Mavi,Josh Hazlewood,Varun Aaron,Raj Bawa,Ravisrinivasan Sai Kishore,Dominic Drakes
Mitchell Marsh,Glenn Maxwell,Marcus Stoinis,Adam Milne,Sunil Narine,Manan Vohra,Kamlesh Nagarkoti,Daniel Sams,Mayank Markande,Maheesh Theekshana
Rishi Dhawan,Nathan Coulter-Nile,Mandeep Singh,Devon Conway,Suyash Prabhudessai,KM Asif,Mohammad Nabi,Ankit Rajpoot,Dwaine Pretorius,Mahipal Lomror