S. No,Player Name,Team,Nationality,Category,2022 price
39,MS Dhoni,CSK,Indian,Wicket Keeper,10
59,Deepak Chahar,CSK,Indian,Bowler,10
83,KS Bharat,DC,Indian,Wicket Keeper,7
98,James Neesham,RR,Foreigner,All Rounder,7
76,Devon Conway,CSK,Foreigner,Batsman,7
117,Harpreet Brar,PK,Indian,Bowler,7
119,Navdeep Saini,RR,Indian,Bowler,7
121,Shreyas Gopal,SRH,Indian,Bowler,7
123,C Hari Nishaanth,CSK,Indian,Batsman,4
124,Subhranshu Senapati,CSK,Indian,Batsman,4
125,Ripal Patel,DC,Indian,Batsman,4
128,Ashwin Hebbar,DC,Indian,Batsman,4
130,Vicky Ostwal,DC,Indian,Batsman,4
131,B Sai Sudharsan,GT,Indian,Batsman,4
132,Rinku Singh,KKR,Indian,Batsman,4
133,Abhijeet Tomar,KKR,Indian,Batsman,4
134,Pratham Singh,KKR,Indian,Batsman,4
139,Rahul Buddhi,MI,Indian,Batsman,4
144,Priyam Garg,SRH,Indian,Batsman,4
142,Finn Allen,RCB,Foreigner,Batsman,4
143,Karun Nair,RR,Indian,Batsman,4
145,R Samarth,SRH,Indian,Batsman,4
146,Shashank Singh,SRH,Indian,Batsman,4
147,Narayan Jagadeesan,CSK,Indian,Wicket Keeper,4
151,Aryan Juyal,MI,Indian,Wicket Keeper,4
152,Prabhsimran Singh,PK,Indian,Wicket Keeper,4
214,Ankit Singh Rajpoot,LSG,Indian,Bowler,4
155,Luvnith Sisodia,RCB,Indian,Wicket Keeper,4
156,Dhruv Jurel,RR,Indian,Wicket Keeper,4
157,Vishnu Vinod,SRH,Indian,Wicket Keeper,4
158,Glenn Phillips,SRH,Foreigner,Wicket Keeper,4
159,Mitchell Santner,CSK,Foreigner,All Rounder,4
160,K Bhagath Verma,CSK,Indian,All Rounder,4
166,Gurkeerat Singh Mann,GT,Indian,All Rounder,4
164,Darshan Nalkande,GT,Indian,All Rounder,4
168,Chamika Karunaratne,KKR,Foreigner,All Rounder,4
169,Ramesh Kumar,KKR,Indian,All Rounder,4
170,Aman Khan,KKR,Indian,All Rounder,4
172,Kyle Mayers,LSG,Foreigner,All Rounder,4
173,Karan Sharma,LSG,Indian,All Rounder,4
174,Arjun Tendulkar,MI,Indian,All Rounder,4
177,Mohammad Arshad Khan,MI,Indian,All Rounder,4
178,Ramandeep Singh,MI,Indian,All Rounder,4
179,Hrithik Shokeen,MI,Indian,All Rounder,4
182,Prerak Mankad,PK,Indian,All Rounder,4
183,Writtick Chatterjee,PK,Indian,All Rounder,4
184,Ansh Patel,PK,Indian,All Rounder,4
185,Atharva Taide,PK,Indian,All Rounder,4
186,Benny Howell,PK,Foreigner,All Rounder,4
187,Karn Sharma,RCB,Indian,All Rounder,4
189,Aneeshwar Gautam,RCB,Indian,All Rounder,4
190,Shubham Garhwal,RR,Indian,All Rounder,4
191,Daryl Mitchell,RR,Foreigner,All Rounder,4
192,Jagadeesha Suchith,SRH,Indian,All Rounder,4
193,Saurabh Dubey,SRH,Indian,All Rounder,4
194,KM Asif,CSK,Indian,Bowler,4
197,Simarjeet Singh,CSK,Indian,Bowler,4
198,Mukesh Choudhary,CSK,Indian,Bowler,4
199,Prashant Solanki,CSK,Indian,Bowler,4
200,Pravin Dubey,DC,Indian,Bowler,4
202,Noor Ahmad,GT,Foreigner,Bowler,4
204,Alzarri Joseph,GT,Foreigner,Bowler,4
205,Pradeep Sangwan,GT,Indian,Bowler,4
207,Jayant Yadav,GT,Indian,Bowler,4
208,Anukul Roy,KKR,Indian,Bowler,4
209,Tim Southee,KKR,Foreigner,Bowler,4
210,Rasikh Dar,KKR,Indian,Bowler,4
211,Ashok Sharma,KKR,Indian,Bowler,4
212,Mohsin Khan,LSG,Indian,Bowler,4
213,Shahbaz Nadeem,LSG,Indian,Bowler,4
216,Mayank Yadav,LSG,Indian,Bowler,4
220,Nathan Ellis,PK,Foreigner,Bowler,4
221,Ishan Porel,PK,Indian,Bowler,4
222,Baltej Dhanda,PK,Indian,Bowler,4
215,Dushmantha Chameera,LSG,Foreigner,Bowler,4
224,Siddharth Kaul,RCB,Indian,Bowler,4
226,Jason Behrendoff,RCB,Foreigner,Bowler,4
227,Chama Milind,RCB,Indian,Bowler,4
228,KC Cariappa,RR,Indian,Bowler,4
229,Kuldip Yadav,RR,Indian,Bowler,4
230,Obed McCoy,RR,Foreigner,Bowler,4
231,Anunay Singh,RR,Indian,Bowler,4
232,Kuldeep Sen,RR,Indian,Bowler,4
233,Tejas Baroka,RR,Indian,Bowler,4
234,Sean Abbott,SRH,Foreigner,Bowler,4
235,Fazalhaq Farooqi,SRH,Foreigner,Bowler,4
236,Rahmanullah Gurbaz,GT,Foreigner,Wicket Keeper,4